Основное средство;Инвентарный номер;Подразделение;Дата принятия к учету
Аппарат физиотерапевтический ЛИМФАВИЖИН-Эксперт  ;УПК005996;МСК-МДМ Терапевтическое отделение №1;06.07.2012
Датчик IC5-9-D для аппарата УЗИ Logiq S8;БП-000044;МСК-МДМ Терапевтическое отделение №1;31.10.2021
Суточный монитор артериального давления BTL-08 ABPM в составе с принадлежностями (C601.100);БП-001025;МСК-МДМ Терапевтическое отделение №2;27.04.2023
Электрокардиограф непрерывной записи по Холтеру BTL-08 ECG HOLTER с принадлежностями (артC08HOL.005);БП-000219;МСК-МДМ Терапевтическое отделение №2;01.05.2022
Электромиограф Keypoint;УПК005939;МСК-МДМ Терапевтическое отделение №2;08.06.2012
Аппарат физиотерапевтический ЛИМФАВИЖИН-Эксперт  в стандартной комплектации;УПК004374;МСК-МДМ Терапевтическое отделение №2;16.11.2010
Аппарат физиотерапевтический ФИЗИОМЕД-Эксперт в стандартной комплектации;УПК007015;МСК-МДМ Терапевтическое отделение №2;08.05.2014
"Установка механотерапевтическая ""Ормед-релакс""";УПК008300;МСК-МДМ Терапевтическое отделение №2;09.12.2020
Аппарат для микроволновой терапии Radarmed 650+, в комплекте;УПК004368;МСК-МДМ Терапевтическое отделение №2;16.11.2010
Аппарат для электроультразвуковой терапии Sonopuls 692id с принадлежностями;УПК007217;МСК-МДМ Терапевтическое отделение №2;18.08.2015
Система длительного холтер. мониторинга ЭКГ SCHILLER medilog DARWIN;УПК007041;МСК-МДМ Терапевтическое отделение №2;30.09.2014
Суточный монитор артериального давления BTL-08 ABPM в составе с принадлежностями (артикул C601.100);БП-000220;МСК-МДМ Терапевтическое отделение №2;01.05.2022
Комплекс компьютерный многофункциональный для исслед. ЭЭГ и ВП Нейрон-Спектр-4/П;УПК006954;МСК-МДМ Терапевтическое отделение №2;30.09.2013
Электрокардиограф BTL FLEXI 12 с возможностью подключения к системе BTL CardioPoint (артC076.003);БП-000226;МСК-МДМ Терапевтическое отделение №2;01.05.2022
Суточный монитор артериального давления BTL-08 ABPM в составе с принадлежностями (артикул C601.101);БП-000225;МСК-МДМ Терапевтическое отделение №2;01.05.2022
Суточный монитор артериального давления BTL-08 ABPM в составе с принадлежностями (артикул C601.101);БП-000224;МСК-МДМ Терапевтическое отделение №2;01.05.2022
Суточный монитор артериального давления BTL-08 ABPM в составе с принадлежностями (артикул C601.101);БП-000223;МСК-МДМ Терапевтическое отделение №2;01.05.2022
Суточный монитор артериального давления BTL-08 ABPM в составе с принадлежностями (артикул C601.101);БП-000222;МСК-МДМ Терапевтическое отделение №2;01.05.2022
